[2026-05-02T18:26:50.427Z] INFO: GET /api/menu | user: guest
[2026-05-02T18:30:51.799Z] INFO: POST /api/auth/register | user: guest
[2026-05-02T18:31:25.588Z] INFO: POST /api/auth/register | user: guest
[2026-05-02T18:31:47.851Z] INFO: GET /api/menu | user: guest
[2026-05-02T18:32:27.736Z] INFO: GET /api/menu | user: guest
[2026-05-02T18:35:16.430Z] INFO: GET / | user: guest
[2026-05-02T18:35:16.601Z] INFO: GET /favicon.ico | user: guest
[2026-05-02T18:36:11.645Z] INFO: GET / | user: guest
[2026-05-02T18:49:17.438Z] INFO: GET / | user: guest
[2026-05-02T18:49:17.506Z] INFO: GET /favicon.ico | user: guest
[2026-05-03T13:45:55.756Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:45:55.999Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:46:04.577Z] INFO: GET /api/orders | user: guest
[2026-05-03T13:46:04.619Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:46:04.625Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:46:04.636Z] INFO: GET /api/orders | user: guest
[2026-05-03T13:46:05.752Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:46:05.758Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:46:48.196Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:46:48.202Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:47:06.458Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:47:06.513Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:47:10.736Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:47:10.765Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:48:00.420Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:48:00.422Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:48:19.245Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:48:19.253Z] INFO: GET /api/menu | user: guest
[2026-05-03T13:49:16.578Z] INFO: GET / | user: guest
[2026-05-03T13:49:16.879Z] INFO: GET /favicon.ico | user: guest
[2026-05-03T18:07:46.148Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:07:46.150Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:08:19.839Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:08:19.840Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:08:22.369Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:08:22.370Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:08:49.752Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:08:49.753Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:14:08.350Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:14:09.344Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:14:22.674Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:14:22.676Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:25:23.879Z] INFO: POST /api/auth/register | user: guest
[2026-05-03T18:25:24.501Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:25:24.840Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:25:24.842Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:25:45.211Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:25:45.220Z] INFO: GET /api/orders | user: guest
[2026-05-03T18:25:45.221Z] INFO: GET /api/orders | user: guest
[2026-05-03T18:25:45.516Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:25:46.937Z] INFO: GET /api/menu | user: guest
[2026-05-03T18:25:47.133Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:08:20.430Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:08:20.613Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:08:20.726Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:08:20.940Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:08:25.651Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:08:25.654Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:03.675Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:09:03.901Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:09:03.902Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:03.903Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:16.355Z] INFO: POST /api/orders | user: guest
[2026-05-04T02:09:16.650Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:09:16.652Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:20.370Z] INFO: GET /api/orders/4 | user: guest
[2026-05-04T02:09:28.868Z] INFO: PUT /api/orders/4 | user: guest
[2026-05-04T02:09:29.197Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:09:29.414Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:35.933Z] INFO: PUT /api/orders/4 | user: guest
[2026-05-04T02:09:36.246Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:36.247Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:09:40.090Z] INFO: PUT /api/orders/4 | user: guest
[2026-05-04T02:09:40.425Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:40.426Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:09:44.312Z] INFO: DELETE /api/orders/4 | user: guest
[2026-05-04T02:09:44.580Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:44.800Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:09:48.410Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:09:48.601Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:10:53.276Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:10:53.277Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:10:53.278Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:10:53.745Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:11:02.256Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:11:02.257Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:11:49.595Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:11:49.596Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:11:49.597Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:11:49.598Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:11:51.830Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:11:51.831Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:12:45.032Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:12:45.263Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:12:45.367Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:12:45.569Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:12:55.254Z] INFO: POST /api/orders | user: guest
[2026-05-04T02:12:55.495Z] INFO: GET /api/menu | user: guest
[2026-05-04T02:12:55.495Z] INFO: GET /api/orders | user: guest
[2026-05-04T02:13:00.618Z] INFO: GET /api/orders/5 | user: guest
[2026-05-04T02:13:18.791Z] INFO: DELETE /api/orders/5 | user: guest
[2026-05-04T02:13:18.979Z] INFO: GET /api/orders | user: guest
